Uniprot.accession,Gene.symbol,Description,tissue,Variable,Value,transporter,mito,meta,edge,rhea,reactome,TCDB,edge_type,Outlier
O89017,LGMN,Legumain OS=Mus musculus OX=10090 GN=Lgmn PE=1 SV=1,liver,Guanidineacetic acid,0.137952098,no,no,no,LGMN_Guanidineacetic acid,NA,NA,NA,newfound,Normal
Q8BIJ7,RUFY1,RUN and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rufy1 PE=1 SV=1,liver,N-Acetyl-DL-serine,0.0309,no,no,no,RUFY1_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q8VC12,UROC1,Urocanate hydratase OS=Mus musculus OX=10090 GN=Uroc1 PE=1 SV=2,liver,N-Acetyl-DL-serine,-0.0236,no,no,yes,UROC1_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q8K4K6,PANK1,Pantothenate kinase 1 OS=Mus musculus OX=10090 GN=Pank1 PE=1 SV=1,liver,N-Acetyl-DL-serine,-0.120886282,no,no,yes,PANK1_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
P54103,DNAJC2,DnaJ homolog subfamily C member 2 OS=Mus musculus OX=10090 GN=Dnajc2 PE=1 SV=2,liver,N-Acetyl-DL-serine,0.0979,no,no,no,DNAJC2_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
P97429,ANXA4,Annexin A4 OS=Mus musculus OX=10090 GN=Anxa4 PE=1 SV=4,liver,N-Acetyl-DL-serine,0.163189188,no,no,no,ANXA4_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
A0A286YCX6,TRAPPC8,Trafficking protein particle complex 8 OS=Mus musculus OX=10090 GN=Trappc8 PE=1 SV=2,liver,N-Acetyl-DL-serine,-0.0176,no,no,no,TRAPPC8_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q9WUM3,CORO1B,Coronin-1B OS=Mus musculus OX=10090 GN=Coro1b PE=1 SV=1,liver,N-Acetyl-DL-serine,0.0118,no,no,no,CORO1B_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q9QZ08,NAGK,N-acetyl-D-glucosamine kinase OS=Mus musculus OX=10090 GN=Nagk PE=1 SV=3,liver,N-Acetyl-DL-serine,0.00228,no,no,no,NAGK_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
O08915,AIP,AH receptor-interacting protein OS=Mus musculus OX=10090 GN=Aip PE=1 SV=1,liver,N-Acetyl-DL-serine,0.00374,no,no,no,AIP_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q3ULW8,PARP3,Protein mono-ADP-ribosyltransferase PARP3 OS=Mus musculus OX=10090 GN=Parp3 PE=2 SV=1,liver,N-Acetyl-DL-serine,-0.031,no,no,no,PARP3_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
P13020,GSN,Gelsolin OS=Mus musculus OX=10090 GN=Gsn PE=1 SV=3,liver,N-Acetyl-DL-serine,0.0502,no,no,no,GSN_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q9Z1M0,P2RX7,P2X purinoceptor 7 OS=Mus musculus OX=10090 GN=P2rx7 PE=1 SV=2,liver,N-Acetyl-DL-serine,0.00805,yes,no,no,P2RX7_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q8BGD6,SLC38A9,Sodium-coupled neutral amino acid transporter 9 OS=Mus musculus OX=10090 GN=Slc38a9 PE=1 SV=1,liver,N-Acetyl-DL-serine,0.0488,yes,no,no,SLC38A9_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q9DAM5,SLC25A19,Mitochondrial thiamine pyrophosphate carrier OS=Mus musculus OX=10090 GN=Slc25a19 PE=1 SV=1,liver,N-Acetyl-DL-serine,0.0105,yes,yes,no,SLC25A19_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q80U30,CLEC16A,Protein CLEC16A OS=Mus musculus OX=10090 GN=Clec16a PE=1 SV=2,liver,N-Acetyl-DL-serine,-0.0633,no,no,no,CLEC16A_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
P06683,C9,Complement component C9 OS=Mus musculus OX=10090 GN=C9 PE=1 SV=2,liver,N-Acetyl-DL-serine,0.0157,no,no,no,C9_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q8VD04,GRIPAP1,GRIP1-associated protein 1 OS=Mus musculus OX=10090 GN=Gripap1 PE=1 SV=1,liver,N-Acetyl-DL-serine,0.155045619,no,no,no,GRIPAP1_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q99JW2,ACY1,Aminoacylase-1 OS=Mus musculus OX=10090 GN=Acy1 PE=1 SV=1,liver,N-Acetyl-DL-serine,-0.161874472,no,no,no,ACY1_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q9D7S9,CHMP5,Charged multivesicular body protein 5 OS=Mus musculus OX=10090 GN=Chmp5 PE=1 SV=1,liver,N-Acetyl-DL-serine,0.126175372,no,no,no,CHMP5_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q9JIZ0,CML1,Probable N-acetyltransferase CML1 OS=Mus musculus OX=10090 GN=Cml1 PE=1 SV=1,liver,N-Acetyl-DL-serine,0.0651,no,no,no,CML1_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
P14069,S100A6,Protein S100-A6 OS=Mus musculus OX=10090 GN=S100a6 PE=1 SV=3,liver,N-Acetyl-DL-serine,0.00398,no,no,no,S100A6_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q9ESY9,IFI30,Gamma-interferon-inducible lysosomal thiol reductase OS=Mus musculus OX=10090 GN=Ifi30 PE=1 SV=3,liver,N-Acetyl-DL-serine,0.0506,no,no,no,IFI30_N-Acetyl-DL-serine,NA,NA,NA,newfound,Normal
Q6NZJ6-2,EIF4G1,Isoform 2 of Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus OX=10090 GN=Eif4g1,liver,Xanthine,-0.612854486,no,no,no,EIF4G1_Xanthine,NA,NA,NA,newfound,Extreme Outlier
Q00519,XDH,Xanthine dehydrogenase/oxidase OS=Mus musculus OX=10090 GN=Xdh PE=1 SV=5,liver,Xanthine,-0.0591,no,no,yes,XDH_Xanthine,RHEA:16669;RHEA:24670;RHEA:21132,R-HSA-74259;R-MMU-74259,NA,established,Normal
Q08091,CNN1,Calponin-1 OS=Mus musculus OX=10090 GN=Cnn1 PE=1 SV=1,liver,Xanthine,0.0273,no,no,no,CNN1_Xanthine,NA,NA,NA,newfound,Normal
P08122,COL4A2,Collagen alpha-2(IV) chain OS=Mus musculus OX=10090 GN=Col4a2 PE=1 SV=4,liver,Xanthine,-0.026,no,no,no,COL4A2_Xanthine,NA,NA,NA,newfound,Normal
P47877,IGFBP2,Insulin-like growth factor-binding protein 2 OS=Mus musculus OX=10090 GN=Igfbp2 PE=2 SV=2,liver,Xanthine,0.154415433,no,no,no,IGFBP2_Xanthine,NA,NA,NA,newfound,Normal
P35492,HAL,Histidine ammonia-lyase OS=Mus musculus OX=10090 GN=Hal PE=1 SV=1,liver,Ribose 5-phosphate,0.00798,no,no,yes,HAL_Ribose 5-phosphate,NA,NA,NA,newfound,Normal
Q8BJW5,NOL11,Nucleolar protein 11 OS=Mus musculus OX=10090 GN=Nol11 PE=2 SV=1,liver,Ribose 5-phosphate,-0.00859,no,no,no,NOL11_Ribose 5-phosphate,NA,NA,NA,newfound,Normal
Q8VCM3,ZFYVE21,Zinc finger FYVE domain-containing protein 21 OS=Mus musculus OX=10090 GN=Zfyve21 PE=1 SV=2,liver,Ribose 5-phosphate,0.0895,no,no,no,ZFYVE21_Ribose 5-phosphate,NA,NA,NA,newfound,Normal
P47877,IGFBP2,Insulin-like growth factor-binding protein 2 OS=Mus musculus OX=10090 GN=Igfbp2 PE=2 SV=2,liver,Ribose 5-phosphate,0.0394,no,no,no,IGFBP2_Ribose 5-phosphate,NA,NA,NA,newfound,Normal
Q9WVT6,CA14,Carbonic anhydrase 14 OS=Mus musculus OX=10090 GN=Ca14 PE=1 SV=1,liver,Ribose 5-phosphate,0.0117,no,no,no,CA14_Ribose 5-phosphate,NA,NA,NA,newfound,Normal
Q99LE6,ABCF2,ATP-binding cassette sub-family F member 2 OS=Mus musculus OX=10090 GN=Abcf2 PE=1 SV=1,liver,Ribose 5-phosphate,-0.213724195,yes,no,no,ABCF2_Ribose 5-phosphate,NA,NA,NA,newfound,Normal
O35375,NRP2,Neuropilin-2 OS=Mus musculus OX=10090 GN=Nrp2 PE=1 SV=2,liver,Ribose 5-phosphate,-0.00346,yes,no,no,NRP2_Ribose 5-phosphate,NA,NA,NA,newfound,Normal
Q8C569,FAM118B,Protein FAM118B OS=Mus musculus OX=10090 GN=Fam118b PE=1 SV=1,liver,Ribose 5-phosphate,-0.0201,no,no,no,FAM118B_Ribose 5-phosphate,NA,NA,NA,newfound,Normal
Q8BWU8,ETNPPL,Ethanolamine-phosphate phospho-lyase OS=Mus musculus OX=10090 GN=Etnppl PE=2 SV=1,liver,Thiamine pyrophosphate,0.0103,no,no,no,ETNPPL_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q8BH55,THNSL1,Threonine synthase-like 1 OS=Mus musculus OX=10090 GN=Thnsl1 PE=1 SV=1,liver,Thiamine pyrophosphate,0.0946,no,yes,no,THNSL1_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
E9PWI3,MCC,Mutated in colorectal cancers OS=Mus musculus OX=10090 GN=Mcc PE=1 SV=1,liver,Thiamine pyrophosphate,0.108290323,no,no,no,MCC_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q6AW69,CGNL1,Cingulin-like protein 1 OS=Mus musculus OX=10090 GN=Cgnl1 PE=1 SV=2,liver,Thiamine pyrophosphate,-0.0672,no,no,no,CGNL1_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q8QZY2,GLYCTK,Glycerate kinase OS=Mus musculus OX=10090 GN=Glyctk PE=1 SV=1,liver,Thiamine pyrophosphate,0.00657,no,yes,yes,GLYCTK_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q8BGA8,ACSM5,"Acyl-coenzyme A synthetase ACSM5, mitochondrial OS=Mus musculus OX=10090 GN=Acsm5 PE=1 SV=1",liver,Thiamine pyrophosphate,0.019,no,yes,yes,ACSM5_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q9R0M5,TPK1,Thiamin pyrophosphokinase 1 OS=Mus musculus OX=10090 GN=Tpk1 PE=1 SV=1,liver,Thiamine pyrophosphate,0.00244,no,no,no,TPK1_Thiamine pyrophosphate,RHEA:11576,R-HSA-196819;R-MMU-196819,NA,established,Normal
Q3UQ84,TARS2,"Threonine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Tars2 PE=1 SV=1",liver,Thiamine pyrophosphate,0.0707,no,yes,yes,TARS2_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q91YI0,ASL,Argininosuccinate lyase OS=Mus musculus OX=10090 GN=Asl PE=1 SV=1,liver,Thiamine pyrophosphate,0.0591,no,no,yes,ASL_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q8K2Q9,SHTN1,Shootin-1 OS=Mus musculus OX=10090 GN=Shtn1 PE=1 SV=1,liver,Thiamine pyrophosphate,-0.30263378,no,no,no,SHTN1_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q8BUE4,AIFM2,Ferroptosis suppressor protein 1 OS=Mus musculus OX=10090 GN=Aifm2 PE=1 SV=1,liver,Thiamine pyrophosphate,-0.0293,no,yes,yes,AIFM2_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q921I9,EXOSC4,Exosome complex component RRP41 OS=Mus musculus OX=10090 GN=Exosc4 PE=1 SV=3,liver,Thiamine pyrophosphate,-0.0603,no,no,no,EXOSC4_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q9WVT6,CA14,Carbonic anhydrase 14 OS=Mus musculus OX=10090 GN=Ca14 PE=1 SV=1,liver,Thiamine pyrophosphate,0.0596,no,no,no,CA14_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
P48722,HSPA4L,Heat shock 70 kDa protein 4L OS=Mus musculus OX=10090 GN=Hspa4l PE=1 SV=2,liver,Thiamine pyrophosphate,-0.0794,no,no,no,HSPA4L_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q64374,RGN,Regucalcin OS=Mus musculus OX=10090 GN=Rgn PE=1 SV=1,liver,Thiamine pyrophosphate,0.00103,no,no,no,RGN_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q283N4,URAD,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase OS=Mus musculus OX=10090 GN=Urad PE=1 SV=1,liver,Thiamine pyrophosphate,0.0564,no,no,no,URAD_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
P16125,LDHB,L-lactate dehydrogenase B chain OS=Mus musculus OX=10090 GN=Ldhb PE=1 SV=2,liver,Thiamine pyrophosphate,0.00466,no,yes,yes,LDHB_Thiamine pyrophosphate,NA,R-HSA-70268;R-MMU-70268,NA,established,Normal
Q8BLF1,NCEH1,Neutral cholesterol ester hydrolase 1 OS=Mus musculus OX=10090 GN=Nceh1 PE=1 SV=1,liver,Thiamine pyrophosphate,-0.212821039,no,no,no,NCEH1_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
O35375,NRP2,Neuropilin-2 OS=Mus musculus OX=10090 GN=Nrp2 PE=1 SV=2,liver,Thiamine pyrophosphate,-0.0783,yes,no,no,NRP2_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q8R519,ACMSD,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase OS=Mus musculus OX=10090 GN=Acmsd PE=1 SV=2,liver,Thiamine pyrophosphate,0.00341,no,no,yes,ACMSD_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q9CWR1,WDR73,WD repeat-containing protein 73 OS=Mus musculus OX=10090 GN=Wdr73 PE=1 SV=1,liver,Thiamine pyrophosphate,-0.0171,no,no,no,WDR73_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
E9Q634,MYO1E,Unconventional myosin-Ie OS=Mus musculus OX=10090 GN=Myo1e PE=1 SV=1,liver,Thiamine pyrophosphate,-0.0248,no,no,no,MYO1E_Thiamine pyrophosphate,NA,NA,NA,newfound,Normal
Q80UJ7,RAB3GAP1,Rab3 GTPase-activating protein catalytic subunit OS=Mus musculus OX=10090 GN=Rab3gap1 PE=1 SV=4,liver,glycerol-3-phosphate,-0.247822347,no,no,no,RAB3GAP1_glycerol-3-phosphate,NA,NA,NA,newfound,Normal
Q923T9,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Mus musculus OX=10090 GN=Camk2g PE=1 SV=1,liver,glycerol-3-phosphate,-0.104463635,yes,no,no,CAMK2G_glycerol-3-phosphate,NA,NA,NA,newfound,Normal
Q01149,COL1A2,Collagen alpha-2(I) chain OS=Mus musculus OX=10090 GN=Col1a2 PE=1 SV=2,liver,glycerol-3-phosphate,-0.0195,no,no,no,COL1A2_glycerol-3-phosphate,NA,NA,NA,newfound,Normal
Q8BUE4,AIFM2,Ferroptosis suppressor protein 1 OS=Mus musculus OX=10090 GN=Aifm2 PE=1 SV=1,liver,glycerol-3-phosphate,-0.0281,no,yes,yes,AIFM2_glycerol-3-phosphate,NA,NA,NA,newfound,Normal
Q2NL51,GSK3A,Glycogen synthase kinase-3 alpha OS=Mus musculus OX=10090 GN=Gsk3a PE=1 SV=2,liver,glycerol-3-phosphate,-0.408638718,no,no,no,GSK3A_glycerol-3-phosphate,NA,NA,NA,newfound,Extreme Outlier
Q9ESB3,HRG,Histidine-rich glycoprotein OS=Mus musculus OX=10090 GN=Hrg PE=1 SV=2,liver,glycerol-3-phosphate,0.123248336,no,no,no,HRG_glycerol-3-phosphate,NA,NA,NA,newfound,Normal
E9Q137,TEX264,Testis-expressed gene 264 OS=Mus musculus OX=10090 GN=Tex264 PE=1 SV=1,liver,glycerol-3-phosphate,-0.120334259,no,no,no,TEX264_glycerol-3-phosphate,NA,NA,NA,newfound,Normal
Q8BSM7,SLC43A1,Large neutral amino acids transporter small subunit 3 OS=Mus musculus OX=10090 GN=Slc43a1 PE=1 SV=1,liver,glycerol-3-phosphate,0.0223,yes,no,no,SLC43A1_glycerol-3-phosphate,NA,NA,NA,newfound,Normal
O35604,NPC1,NPC intracellular cholesterol transporter 1 OS=Mus musculus OX=10090 GN=Npc1 PE=1 SV=2,liver,glycerol-3-phosphate,0.0265,yes,no,no,NPC1_glycerol-3-phosphate,NA,NA,NA,newfound,Normal
P62257,UBE2H,Ubiquitin-conjugating enzyme E2 H OS=Mus musculus OX=10090 GN=Ube2h PE=1 SV=1,liver,Adenosine,-0.0692,no,no,no,UBE2H_Adenosine,NA,NA,NA,newfound,Normal
Q8QZR1,TAT,Tyrosine aminotransferase OS=Mus musculus OX=10090 GN=Tat PE=1 SV=1,liver,S-(5'-Adenosyl)-L-homocysteine,0.00891,no,no,yes,TAT_S-(5'-Adenosyl)-L-homocysteine,NA,NA,NA,newfound,Normal
Q91YI0,ASL,Argininosuccinate lyase OS=Mus musculus OX=10090 GN=Asl PE=1 SV=1,liver,S-(5'-Adenosyl)-L-homocysteine,0.0487,no,no,yes,ASL_S-(5'-Adenosyl)-L-homocysteine,NA,NA,NA,newfound,Normal
Q0VEE6,ZNF800,Zinc finger protein 800 OS=Mus musculus OX=10090 GN=Znf800 PE=1 SV=1,liver,S-(5'-Adenosyl)-L-homocysteine,-0.079,no,no,no,ZNF800_S-(5'-Adenosyl)-L-homocysteine,NA,NA,NA,newfound,Normal
Q8K2L8,TRAPPC12,Trafficking protein particle complex subunit 12 OS=Mus musculus OX=10090 GN=Trappc12 PE=1 SV=2,liver,S-(5'-Adenosyl)-L-homocysteine,-0.0388,no,no,no,TRAPPC12_S-(5'-Adenosyl)-L-homocysteine,NA,NA,NA,newfound,Normal
Q8VCN5,CTH,Cystathionine gamma-lyase OS=Mus musculus OX=10090 GN=Cth PE=1 SV=1,liver,S-(5'-Adenosyl)-L-homocysteine,0.00232,no,no,yes,CTH_S-(5'-Adenosyl)-L-homocysteine,NA,R-HSA-2408508,NA,established,Normal
Q9Z2V4,PCK1,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] OS=Mus musculus OX=10090 GN=Pck1 PE=1 SV=1",liver,S-(5'-Adenosyl)-L-homocysteine,0.0964,no,no,yes,PCK1_S-(5'-Adenosyl)-L-homocysteine,NA,NA,NA,newfound,Normal
Q8VBT2,SDS,L-serine dehydratase/L-threonine deaminase OS=Mus musculus OX=10090 GN=Sds PE=1 SV=3,liver,S-(5'-Adenosyl)-L-homocysteine,0.0314,no,no,yes,SDS_S-(5'-Adenosyl)-L-homocysteine,NA,NA,NA,newfound,Normal
P37040,POR,NADPH--cytochrome P450 reductase OS=Mus musculus OX=10090 GN=Por PE=1 SV=2,liver,S-(5'-Adenosyl)-L-homocysteine,0.172981731,no,no,no,POR_S-(5'-Adenosyl)-L-homocysteine,NA,NA,NA,newfound,Normal
Q8BHJ5,TBL1XR1,F-box-like/WD repeat-containing protein TBL1XR1 OS=Mus musculus OX=10090 GN=Tbl1xr1 PE=1 SV=1,liver,S-(5'-Adenosyl)-L-homocysteine,-0.181046816,no,no,no,TBL1XR1_S-(5'-Adenosyl)-L-homocysteine,NA,NA,NA,newfound,Normal
Q8BMZ5,TSEN34,tRNA-splicing endonuclease subunit Sen34 OS=Mus musculus OX=10090 GN=Tsen34 PE=2 SV=2,liver,S-(5'-Adenosyl)-L-homocysteine,-0.00574,no,no,no,TSEN34_S-(5'-Adenosyl)-L-homocysteine,NA,NA,NA,newfound,Normal
E9Q634,MYO1E,Unconventional myosin-Ie OS=Mus musculus OX=10090 GN=Myo1e PE=1 SV=1,liver,S-(5'-Adenosyl)-L-homocysteine,-0.022,no,no,no,MYO1E_S-(5'-Adenosyl)-L-homocysteine,NA,NA,NA,newfound,Normal
Q6NZJ6-2,EIF4G1,Isoform 2 of Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus OX=10090 GN=Eif4g1,liver,Inosine,-0.471651906,no,no,no,EIF4G1_Inosine,NA,NA,NA,newfound,Extreme Outlier
Q8VCM3,ZFYVE21,Zinc finger FYVE domain-containing protein 21 OS=Mus musculus OX=10090 GN=Zfyve21 PE=1 SV=2,liver,Inosine,0.0802,no,no,no,ZFYVE21_Inosine,NA,NA,NA,newfound,Normal
E0CYV0,PCMT1,Protein-L-isoaspartate O-methyltransferase OS=Mus musculus OX=10090 GN=Pcmt1 PE=1 SV=1,liver,Inosine,0.108020067,no,no,no,PCMT1_Inosine,NA,NA,NA,newfound,Normal
P47877,IGFBP2,Insulin-like growth factor-binding protein 2 OS=Mus musculus OX=10090 GN=Igfbp2 PE=2 SV=2,liver,Inosine,0.135768605,no,no,no,IGFBP2_Inosine,NA,NA,NA,newfound,Normal
Q9WTN3,SREBF1,Sterol regulatory element-binding protein 1 OS=Mus musculus OX=10090 GN=Srebf1 PE=1 SV=4,liver,O-Phosphorylethanolamine,-0.0351,no,no,no,SREBF1_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q9DCS2,METTL26,Methyltransferase-like 26 OS=Mus musculus OX=10090 GN=Mettl26 PE=1 SV=1,liver,O-Phosphorylethanolamine,-0.00367,no,no,no,METTL26_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q6P6M7,SEPSECS,O-phosphoseryl-tRNA(Sec) selenium transferase OS=Mus musculus OX=10090 GN=Sepsecs PE=1 SV=2,liver,O-Phosphorylethanolamine,-0.0424,no,no,no,SEPSECS_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q8BWR8,RHPN2,Rhophilin-2 OS=Mus musculus OX=10090 GN=Rhpn2 PE=1 SV=2,liver,O-Phosphorylethanolamine,-0.0976,no,no,no,RHPN2_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
P97494,GCLC,Glutamate--cysteine ligase catalytic subunit OS=Mus musculus OX=10090 GN=Gclc PE=1 SV=4,liver,O-Phosphorylethanolamine,-0.0479,no,no,yes,GCLC_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
P51660,HSD17B4,Peroxisomal multifunctional enzyme type 2 OS=Mus musculus OX=10090 GN=Hsd17b4 PE=1 SV=3,liver,O-Phosphorylethanolamine,-0.298714955,no,yes,yes,HSD17B4_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q5BL07,PEX1,Peroxisome biogenesis factor 1 OS=Mus musculus OX=10090 GN=Pex1 PE=1 SV=2,liver,O-Phosphorylethanolamine,-0.0053,yes,no,no,PEX1_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q62167,DDX3X,ATP-dependent RNA helicase DDX3X OS=Mus musculus OX=10090 GN=Ddx3x PE=1 SV=3,liver,O-Phosphorylethanolamine,0.181773504,yes,no,no,DDX3X_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q8R5A3,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein OS=Mus musculus OX=10090 GN=Apbb1ip PE=1 SV=2,liver,O-Phosphorylethanolamine,0.0616,no,no,no,APBB1IP_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q9Z0R9,FADS2,Acyl-CoA 6-desaturase OS=Mus musculus OX=10090 GN=Fads2 PE=1 SV=1,liver,O-Phosphorylethanolamine,-0.00577,no,no,no,FADS2_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q9DB26,PHYHD1,Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Phyhd1 PE=1 SV=2,liver,O-Phosphorylethanolamine,-0.0263,no,no,no,PHYHD1_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q923B6,STEAP4,Metalloreductase STEAP4 OS=Mus musculus OX=10090 GN=Steap4 PE=1 SV=1,liver,O-Phosphorylethanolamine,0.00694,yes,no,yes,STEAP4_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q8VCB3,GYS2,"Glycogen [starch] synthase, liver OS=Mus musculus OX=10090 GN=Gys2 PE=1 SV=2",liver,O-Phosphorylethanolamine,-0.0744,no,no,yes,GYS2_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q9DBK0,ACOT12,Acetyl-coenzyme A thioesterase OS=Mus musculus OX=10090 GN=Acot12 PE=1 SV=1,liver,O-Phosphorylethanolamine,-0.0772,yes,no,yes,ACOT12_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q8R5A0,SMYD2,N-lysine methyltransferase SMYD2 OS=Mus musculus OX=10090 GN=Smyd2 PE=1 SV=1,liver,O-Phosphorylethanolamine,-6.6e-4,no,no,no,SMYD2_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q91WP6,SERPINA3N,Serine protease inhibitor A3N OS=Mus musculus OX=10090 GN=Serpina3n PE=1 SV=1,liver,O-Phosphorylethanolamine,0.0198,no,no,no,SERPINA3N_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
P59326,YTHDF1,YTH domain-containing family protein 1 OS=Mus musculus OX=10090 GN=Ythdf1 PE=1 SV=1,liver,O-Phosphorylethanolamine,0.0859,no,no,no,YTHDF1_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q9CQ20,MID1IP1,Mid1-interacting protein 1 OS=Mus musculus OX=10090 GN=Mid1ip1 PE=1 SV=1,liver,O-Phosphorylethanolamine,-0.0441,no,no,no,MID1IP1_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
P81122,IRS2,Insulin receptor substrate 2 OS=Mus musculus OX=10090 GN=Irs2 PE=1 SV=2,liver,O-Phosphorylethanolamine,0.00298,no,no,no,IRS2_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
P08103,HCK,Tyrosine-protein kinase HCK OS=Mus musculus OX=10090 GN=Hck PE=1 SV=4,liver,O-Phosphorylethanolamine,0.0724,no,no,no,HCK_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
P10852-2,SLC3A2,Isoform 2 of 4F2 cell-surface antigen heavy chain OS=Mus musculus OX=10090 GN=Slc3a2,liver,O-Phosphorylethanolamine,0.0798,yes,no,no,SLC3A2_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
O89017,LGMN,Legumain OS=Mus musculus OX=10090 GN=Lgmn PE=1 SV=1,liver,O-Phosphorylethanolamine,0.247404213,no,no,no,LGMN_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
P62257,UBE2H,Ubiquitin-conjugating enzyme E2 H OS=Mus musculus OX=10090 GN=Ube2h PE=1 SV=1,liver,O-Phosphorylethanolamine,-0.0237,no,no,no,UBE2H_O-Phosphorylethanolamine,NA,NA,NA,newfound,Normal
Q61140-2,BCAR1,Isoform Cas-A of Breast cancer anti-estrogen resistance protein 1 OS=Mus musculus OX=10090 GN=Bcar1,liver,Succinate,-0.00112,no,no,no,BCAR1_Succinate,NA,NA,NA,newfound,Normal
Q64700,RBL2,Retinoblastoma-like protein 2 OS=Mus musculus OX=10090 GN=Rbl2 PE=1 SV=3,liver,Succinate,-0.0467,no,no,no,RBL2_Succinate,NA,NA,NA,newfound,Normal
Q9EQ06,HSD17B11,Estradiol 17-beta-dehydrogenase 11 OS=Mus musculus OX=10090 GN=Hsd17b11 PE=1 SV=1,liver,Succinate,-0.0264,no,no,yes,HSD17B11_Succinate,NA,NA,NA,newfound,Normal
Q9D920,BORCS5,BLOC-1-related complex subunit 5 OS=Mus musculus OX=10090 GN=Borcs5 PE=1 SV=1,liver,Succinate,-0.0111,no,no,no,BORCS5_Succinate,NA,NA,NA,newfound,Normal
