ID	gene.symbol.x	uniprot.id	chebi.identifier	chebi.name	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
2.A.1.44.2	SLC43A2	Q8N370	CHEBI:6282	L-phenylalanine	SLC43A2_CHEBI:6282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.92.1.1	SLC44A1	Q6X893	CHEBI:3665	choline	SLC44A1_CHEBI:3665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.92.1.6	SLC44A1	Q8WWI5	CHEBI:3665	choline	SLC44A1_CHEBI:3665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.92.1.2	SLC44A2	Q8BY89	CHEBI:3665	choline	SLC44A2_CHEBI:3665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.92.1.4	SLC44A2	Q8IWA5	CHEBI:3665	choline	SLC44A2_CHEBI:3665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.66.1.14	SLC47A1	Q96FL8	CHEBI:3910	creatinine	SLC47A1_CHEBI:3910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.31.1.1	SLC4A1	P02730	CHEBI:25696	organic anion	SLC4A1_CHEBI:25696	sp|P04919|B3AT_MOUSE	SLC4A1	protein	L-Aspartic acid	metabolite	-0.37697569276078297	7.045783234627123e-7	163	1.7558824856570444e-5	SLC4A1_L-Aspartic acid	L-aspartate(1−)	CHEBI:29991	primary	37	CHEBI:25696	10	organic anion	SLC4A1_L-Aspartic acid_CHEBI:25696	TCDB
2.A.21.5.7	SLC5A6	Q9Y289	CHEBI:14739	pantothenate	SLC5A6_CHEBI:14739	sp|Q5U4D8|SC5A6_MOUSE	SLC5A6	protein	Pantothenic acid	metabolite	0.6492089774460236	0	163	0	SLC5A6_Pantothenic acid	pantothenate	CHEBI:14739	secondary	100	CHEBI:14739	100	pantothenate	SLC5A6_Pantothenic acid_CHEBI:14739	TCDB
2.A.21.5.7	SLC5A6	Q9Y289	CHEBI:3108	biotin	SLC5A6_CHEBI:3108	sp|Q5U4D8|SC5A6_MOUSE	SLC5A6	protein	Biotin	metabolite	0.25062249862675123	0.00125197749350647	163	0.0090332081474694	SLC5A6_Biotin	biotin	CHEBI:3108	secondary	100	CHEBI:3108	100	biotin	SLC5A6_Biotin_CHEBI:3108	TCDB
2.A.22.3.10	SLC6A13	Q9NSD5	CHEBI:1786	gamma-aminobutyric acid	SLC6A13_CHEBI:1786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.22.3.8	SLC6A13	P31649	CHEBI:16244	4-(trimethylammonio)butanoate	SLC6A13_CHEBI:16244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.22.3.8	SLC6A13	P31649	CHEBI:9406	taurine	SLC6A13_CHEBI:9406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.22.1.2	SLC6A2	P23975	CHEBI:1	(R)-noradrenaline	SLC6A2_CHEBI:1	sp|O55192|SC6A2_MOUSE	SLC6A2	protein	Norepinephrine	metabolite	0.6377828806036301	0	163	0	SLC6A2_Norepinephrine	(R)-noradrenaline	CHEBI:1	secondary	100	CHEBI:1	100	(R)-noradrenaline	SLC6A2_Norepinephrine_CHEBI:1	TCDB
2.A.22.3.3	SLC6A6	P31641	CHEBI:16865	gamma-aminobutyric acid	SLC6A6_CHEBI:16865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.22.3.3	SLC6A6	P31641	CHEBI:9406	taurine	SLC6A6_CHEBI:9406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.22.3.11	SLC6A8	P48029	CHEBI:3909	creatine	SLC6A8_CHEBI:3909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.60.1.19	SLCO2A1	Q92959	CHEBI:24996	lactate	SLCO2A1_CHEBI:24996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.60.1.19	SLCO2A1	Q92959	CHEBI:25696	organic anion	SLCO2A1_CHEBI:25696	sp|Q9EPT5|SO2A1_MOUSE	SLCO2A1	protein	L-Serine	metabolite	0.33859956674438324	0.00813839620312562	60	0.03980087548454122	SLCO2A1_L-Serine	L-serinate	CHEBI:32836	primary	28	CHEBI:25696	10	organic anion	SLCO2A1_L-Serine_CHEBI:25696	TCDB
2.A.60.1.20	SLCO2B1	O94956	CHEBI:29987	glutamate(2-)	SLCO2B1_CHEBI:29987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
