Uniprot.accession,Gene.symbol,Description,tissue,Variable,Value,transporter,mito,meta,edge,rhea,reactome,TCDB,edge_type,Outlier
Q9DCV3,DGAT2,Diacylglycerol O-acyltransferase 2 OS=Mus musculus OX=10090 GN=Dgat2 PE=1 SV=1,bat,Butyric acid,-0.0972,no,no,yes,DGAT2_Butyric acid,NA,NA,NA,newfound,Normal
Q8R0F8,FAHD1,"Acylpyruvase FAHD1, mitochondrial OS=Mus musculus OX=10090 GN=Fahd1 PE=1 SV=2",bat,Butyric acid,0.0176,no,yes,yes,FAHD1_Butyric acid,NA,NA,NA,newfound,Normal
O88735-2,MAP7,Isoform 2 of Ensconsin OS=Mus musculus OX=10090 GN=Map7,bat,Butyryl-carnitine,0.0212,no,no,no,MAP7_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8BKC5,IPO5,Importin-5 OS=Mus musculus OX=10090 GN=Ipo5 PE=1 SV=3,bat,Butyryl-carnitine,-0.112980782,yes,no,no,IPO5_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9WU79,PRODH,"Proline dehydrogenase 1, mitochondrial OS=Mus musculus OX=10090 GN=Prodh PE=1 SV=2",bat,Butyryl-carnitine,0.00184,no,yes,yes,PRODH_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8BWR8,RHPN2,Rhophilin-2 OS=Mus musculus OX=10090 GN=Rhpn2 PE=1 SV=2,bat,Butyryl-carnitine,0.031,no,no,no,RHPN2_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q80W04,TMCC2,Transmembrane and coiled-coil domains protein 2 OS=Mus musculus OX=10090 GN=Tmcc2 PE=1 SV=1,bat,Butyryl-carnitine,-0.165751775,no,no,no,TMCC2_Butyryl-carnitine,NA,NA,NA,newfound,Normal
A2A8L5,PTPRF,Receptor-type tyrosine-protein phosphatase F OS=Mus musculus OX=10090 GN=Ptprf PE=1 SV=1,bat,Butyryl-carnitine,0.0744,no,no,no,PTPRF_Butyryl-carnitine,NA,NA,NA,newfound,Normal
O54950,PRKAG1,5'-AMP-activated protein kinase subunit gamma-1 OS=Mus musculus OX=10090 GN=Prkag1 PE=1 SV=2,bat,Butyryl-carnitine,0.0793,no,no,no,PRKAG1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8VCC9,SPON1,Spondin-1 OS=Mus musculus OX=10090 GN=Spon1 PE=1 SV=1,bat,Butyryl-carnitine,8.7e-4,no,no,no,SPON1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
O08917,FLOT1,Flotillin-1 OS=Mus musculus OX=10090 GN=Flot1 PE=1 SV=1,bat,Butyryl-carnitine,-0.0877,yes,no,no,FLOT1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q6PGH2,JPT2,Jupiter microtubule associated homolog 2 OS=Mus musculus OX=10090 GN=Jpt2 PE=1 SV=1,bat,Butyryl-carnitine,-0.0443,no,no,no,JPT2_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9WVQ5,APIP,Methylthioribulose-1-phosphate dehydratase OS=Mus musculus OX=10090 GN=Apip PE=1 SV=1,bat,Butyryl-carnitine,0.0799,no,no,no,APIP_Butyryl-carnitine,NA,NA,NA,newfound,Normal
O70309,ITGB5,Integrin beta-5 OS=Mus musculus OX=10090 GN=Itgb5 PE=1 SV=2,bat,Butyryl-carnitine,-0.0244,no,no,no,ITGB5_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8BP56,PGGHG,Protein-glucosylgalactosylhydroxylysine glucosidase OS=Mus musculus OX=10090 GN=Pgghg PE=1 SV=1,bat,Butyryl-carnitine,-0.00948,no,no,no,PGGHG_Butyryl-carnitine,NA,NA,NA,newfound,Normal
P63011,RAB3A,Ras-related protein Rab-3A OS=Mus musculus OX=10090 GN=Rab3a PE=1 SV=1,bat,Butyryl-carnitine,0.122850344,no,no,no,RAB3A_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9DBX3,SUSD2,Sushi domain-containing protein 2 OS=Mus musculus OX=10090 GN=Susd2 PE=1 SV=1,bat,Butyryl-carnitine,0.027,no,no,no,SUSD2_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8VDP3,MICAL1,[F-actin]-monooxygenase MICAL1 OS=Mus musculus OX=10090 GN=Mical1 PE=1 SV=1,bat,Butyryl-carnitine,0.00949,no,no,no,MICAL1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8BGB7,ENOPH1,Enolase-phosphatase E1 OS=Mus musculus OX=10090 GN=Enoph1 PE=1 SV=1,bat,Butyryl-carnitine,0.275764963,no,no,no,ENOPH1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8BJD1,ITIH5,Inter-alpha-trypsin inhibitor heavy chain H5 OS=Mus musculus OX=10090 GN=Itih5 PE=1 SV=1,bat,Butyryl-carnitine,-0.036,no,no,no,ITIH5_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9D964,GATM,"Glycine amidinotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Gatm PE=1 SV=1",bat,Butyryl-carnitine,0.00641,no,yes,yes,GATM_Butyryl-carnitine,NA,NA,NA,newfound,Normal
B1AR13,CISD3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial OS=Mus musculus OX=10090 GN=Cisd3 PE=1 SV=1",bat,Butyryl-carnitine,0.0575,no,yes,no,CISD3_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8BHB0,NOD1,Nucleotide-binding oligomerization domain-containing protein 1 OS=Mus musculus OX=10090 GN=Nod1 PE=1 SV=1,bat,Butyryl-carnitine,-0.136092347,no,no,no,NOD1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
O89112,LANCL1,Glutathione S-transferase LANCL1 OS=Mus musculus OX=10090 GN=Lancl1 PE=1 SV=1,bat,Butyryl-carnitine,-0.0715,no,no,no,LANCL1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q811U4,MFN1,Mitofusin-1 OS=Mus musculus OX=10090 GN=Mfn1 PE=1 SV=3,bat,Butyryl-carnitine,0.183175023,yes,yes,no,MFN1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q62210,BIRC2,Baculoviral IAP repeat-containing protein 2 OS=Mus musculus OX=10090 GN=Birc2 PE=1 SV=1,bat,Butyryl-carnitine,-0.0356,no,no,no,BIRC2_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q61753,PHGDH,D-3-phosphoglycerate dehydrogenase OS=Mus musculus OX=10090 GN=Phgdh PE=1 SV=3,bat,Butyryl-carnitine,-0.0192,no,no,yes,PHGDH_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9EP71,RAI14,Ankycorbin OS=Mus musculus OX=10090 GN=Rai14 PE=1 SV=1,bat,Butyryl-carnitine,0.0151,no,no,no,RAI14_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8VDC1,FYCO1,FYVE and coiled-coil domain-containing protein 1 OS=Mus musculus OX=10090 GN=Fyco1 PE=1 SV=1,bat,Butyryl-carnitine,-0.0471,yes,no,no,FYCO1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q3TZX3,SLC25A33,Solute carrier family 25 member 33 OS=Mus musculus OX=10090 GN=Slc25a33 PE=2 SV=1,bat,Butyryl-carnitine,0.164556691,yes,yes,no,SLC25A33_Butyryl-carnitine,NA,NA,NA,newfound,Normal
P23506-2,PCMT1,Isoform 2 of Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Mus musculus OX=10090 GN=Pcmt1,bat,Butyryl-carnitine,-0.124049782,no,no,no,PCMT1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q499X9,MARS2,"Methionine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Mars2 PE=1 SV=2",bat,Butyryl-carnitine,0.139330568,no,yes,yes,MARS2_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q61391,MME,Neprilysin OS=Mus musculus OX=10090 GN=Mme PE=1 SV=3,bat,Butyryl-carnitine,-0.0988,no,no,no,MME_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9JJA4,WDR12,Ribosome biogenesis protein WDR12 OS=Mus musculus OX=10090 GN=Wdr12 PE=1 SV=1,bat,Butyryl-carnitine,-0.100978008,no,no,no,WDR12_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9Z2I8,SUCLG2,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Suclg2 PE=1 SV=3",bat,Butyryl-carnitine,0.0278,no,yes,yes,SUCLG2_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8CB27,YOD1,Ubiquitin thioesterase OTU1 OS=Mus musculus OX=10090 GN=Yod1 PE=1 SV=1,bat,Butyryl-carnitine,-0.0582,no,no,no,YOD1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q58A65-2,SPAG9,Isoform 2 of C-Jun-amino-terminal kinase-interacting protein 4 OS=Mus musculus OX=10090 GN=Spag9,bat,Butyryl-carnitine,-0.0938,no,no,no,SPAG9_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q3B7Z2,OSBP,Oxysterol-binding protein 1 OS=Mus musculus OX=10090 GN=Osbp PE=1 SV=3,bat,Butyryl-carnitine,-0.177072962,no,no,no,OSBP_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8BX10,PGAM5,"Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Mus musculus OX=10090 GN=Pgam5 PE=1 SV=1",bat,Butyryl-carnitine,-0.0112,no,yes,yes,PGAM5_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9CZT5,VASN,Vasorin OS=Mus musculus OX=10090 GN=Vasn PE=2 SV=2,bat,Butyryl-carnitine,-0.0903,no,no,no,VASN_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8K441,ABCA6,ATP-binding cassette sub-family A member 6 OS=Mus musculus OX=10090 GN=Abca6 PE=1 SV=2,bat,Butyryl-carnitine,7.99e-4,yes,no,no,ABCA6_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8BUL6,PLEKHA1,Pleckstrin homology domain-containing family A member 1 OS=Mus musculus OX=10090 GN=Plekha1 PE=1 SV=1,bat,Butyryl-carnitine,-0.061,no,no,no,PLEKHA1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9D710,TMX2,Thioredoxin-related transmembrane protein 2 OS=Mus musculus OX=10090 GN=Tmx2 PE=1 SV=1,bat,Butyryl-carnitine,0.185823538,yes,no,no,TMX2_Butyryl-carnitine,NA,NA,NA,newfound,Normal
P28651,CA8,Carbonic anhydrase-related protein OS=Mus musculus OX=10090 GN=Ca8 PE=1 SV=5,bat,Butyryl-carnitine,0.0337,no,no,no,CA8_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q61730-3,IL1RAP,Isoform 3 of Interleukin-1 receptor accessory protein OS=Mus musculus OX=10090 GN=Il1rap,bat,Butyryl-carnitine,-0.00577,no,no,no,IL1RAP_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8R216,SIRT4,"NAD-dependent protein lipoamidase sirtuin-4, mitochondrial OS=Mus musculus OX=10090 GN=Sirt4 PE=1 SV=3",bat,Butyryl-carnitine,0.0437,no,yes,yes,SIRT4_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9CQT1,MRI1,Methylthioribose-1-phosphate isomerase OS=Mus musculus OX=10090 GN=Mri1 PE=1 SV=1,bat,Butyryl-carnitine,-0.128310347,no,no,no,MRI1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q64191,AGA,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Mus musculus OX=10090 GN=Aga PE=1 SV=1,bat,Butyryl-carnitine,-0.20533591,no,no,no,AGA_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q62073,MAP3K7,Mitogen-activated protein kinase kinase kinase 7 OS=Mus musculus OX=10090 GN=Map3k7 PE=1 SV=1,bat,Butyryl-carnitine,-0.0295,no,no,no,MAP3K7_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q8C5K5,NA,Uncharacterized protein CXorf38 homolog OS=Mus musculus OX=10090 PE=1 SV=1,bat,Butyryl-carnitine,-0.00767,no,no,no,NA_Butyryl-carnitine,NA,NA,NA,newfound,Normal
G5E8F4,FPGT,Fucose-1-phosphate guanylyltransferase OS=Mus musculus OX=10090 GN=Fpgt PE=1 SV=1,bat,Butyryl-carnitine,-5.69e-4,no,no,no,FPGT_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9D142,NUDT14,Uridine diphosphate glucose pyrophosphatase NUDT14 OS=Mus musculus OX=10090 GN=Nudt14 PE=1 SV=1,bat,Butyryl-carnitine,-0.0492,no,no,yes,NUDT14_Butyryl-carnitine,NA,NA,NA,newfound,Normal
P50172,HSD11B1,Corticosteroid 11-beta-dehydrogenase isozyme 1 OS=Mus musculus OX=10090 GN=Hsd11b1 PE=1 SV=3,bat,Butyryl-carnitine,0.0222,no,no,yes,HSD11B1_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q791V5,MTCH2,Mitochondrial carrier homolog 2 OS=Mus musculus OX=10090 GN=Mtch2 PE=1 SV=1,bat,Butyryl-carnitine,0.0418,yes,yes,no,MTCH2_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q3KNM2,MARCHF5,E3 ubiquitin-protein ligase MARCHF5 OS=Mus musculus OX=10090 GN=Marchf5 PE=1 SV=1,bat,Butyryl-carnitine,0.0465,no,yes,no,MARCHF5_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q7TMY7,IPO8,Importin-8 OS=Mus musculus OX=10090 GN=Ipo8 PE=1 SV=3,bat,Butyryl-carnitine,-0.0952,yes,no,no,IPO8_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9CYZ6,REX1BD,Required for excision 1-B domain-containing protein OS=Mus musculus OX=10090 GN=Rex1bd PE=1 SV=1,bat,Butyryl-carnitine,-0.0529,no,no,no,REX1BD_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q7TPD2,FAM185A,Protein FAM185A OS=Mus musculus OX=10090 GN=Fam185a PE=2 SV=1,bat,Butyryl-carnitine,-0.0679,no,yes,no,FAM185A_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9CX13,CNIH4,Protein cornichon homolog 4 OS=Mus musculus OX=10090 GN=Cnih4 PE=2 SV=1,bat,Butyryl-carnitine,-0.0297,no,no,no,CNIH4_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q5SWZ9,PLD6,Mitochondrial cardiolipin hydrolase OS=Mus musculus OX=10090 GN=Pld6 PE=1 SV=1,bat,Butyryl-carnitine,0.0356,no,yes,yes,PLD6_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9D020,NT5C3A,Cytosolic 5'-nucleotidase 3A OS=Mus musculus OX=10090 GN=Nt5c3a PE=1 SV=4,bat,Butyryl-carnitine,-0.265109119,no,no,yes,NT5C3A_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q91YP2,NLN,"Neurolysin, mitochondrial OS=Mus musculus OX=10090 GN=Nln PE=1 SV=1",bat,Butyryl-carnitine,-0.138601804,no,yes,no,NLN_Butyryl-carnitine,NA,NA,NA,newfound,Normal
Q9Z2L7,CRLF3,Cytokine receptor-like factor 3 OS=Mus musculus OX=10090 GN=Crlf3 PE=1 SV=1,bat,Butyryl-carnitine,-0.0697,no,no,no,CRLF3_Butyryl-carnitine,NA,NA,NA,newfound,Normal
P30416,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Mus musculus OX=10090 GN=Fkbp4 PE=1 SV=5,bat,CDP-ethanolamine,0.0292,no,no,yes,FKBP4_CDP-ethanolamine,NA,NA,NA,newfound,Normal
P52624,UPP1,Uridine phosphorylase 1 OS=Mus musculus OX=10090 GN=Upp1 PE=1 SV=2,bat,CDP-ethanolamine,-0.00432,no,no,yes,UPP1_CDP-ethanolamine,NA,NA,NA,newfound,Normal
O54950,PRKAG1,5'-AMP-activated protein kinase subunit gamma-1 OS=Mus musculus OX=10090 GN=Prkag1 PE=1 SV=2,bat,CDP-ethanolamine,0.0217,no,no,no,PRKAG1_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q91VJ2,CAVIN3,Caveolae-associated protein 3 OS=Mus musculus OX=10090 GN=Cavin3 PE=1 SV=1,bat,CDP-ethanolamine,-0.0112,no,no,no,CAVIN3_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q6PGH2,JPT2,Jupiter microtubule associated homolog 2 OS=Mus musculus OX=10090 GN=Jpt2 PE=1 SV=1,bat,CDP-ethanolamine,-0.0377,no,no,no,JPT2_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q8VEE0,RPE,Ribulose-phosphate 3-epimerase OS=Mus musculus OX=10090 GN=Rpe PE=1 SV=1,bat,CDP-ethanolamine,0.0626,no,no,yes,RPE_CDP-ethanolamine,NA,NA,NA,newfound,Normal
P15105,GLUL,Glutamine synthetase OS=Mus musculus OX=10090 GN=Glul PE=1 SV=6,bat,CDP-ethanolamine,0.03,no,no,yes,GLUL_CDP-ethanolamine,NA,NA,NA,newfound,Normal
P61226,RAP2B,Ras-related protein Rap-2b OS=Mus musculus OX=10090 GN=Rap2b PE=1 SV=1,bat,CDP-ethanolamine,-0.0506,no,no,no,RAP2B_CDP-ethanolamine,NA,NA,NA,newfound,Normal
O88783,F5,Coagulation factor V OS=Mus musculus OX=10090 GN=F5 PE=1 SV=1,bat,CDP-ethanolamine,-1.24e-5,no,no,no,F5_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q811U4,MFN1,Mitofusin-1 OS=Mus musculus OX=10090 GN=Mfn1 PE=1 SV=3,bat,CDP-ethanolamine,0.156276135,yes,yes,no,MFN1_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q99J08,SEC14L2,SEC14-like protein 2 OS=Mus musculus OX=10090 GN=Sec14l2 PE=1 SV=1,bat,CDP-ethanolamine,-0.0659,no,no,no,SEC14L2_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q8BFZ3,ACTBL2,Beta-actin-like protein 2 OS=Mus musculus OX=10090 GN=Actbl2 PE=1 SV=1,bat,CDP-ethanolamine,-0.00473,no,no,no,ACTBL2_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q80SW1,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1 OS=Mus musculus OX=10090 GN=Ahcyl1 PE=1 SV=1,bat,CDP-ethanolamine,0.0385,yes,yes,yes,AHCYL1_CDP-ethanolamine,NA,NA,NA,newfound,Normal
O35639,ANXA3,Annexin A3 OS=Mus musculus OX=10090 GN=Anxa3 PE=1 SV=4,bat,CDP-ethanolamine,-0.0246,no,no,no,ANXA3_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q5NCI0,URGCP,Up-regulator of cell proliferation OS=Mus musculus OX=10090 GN=Urgcp PE=2 SV=1,bat,CDP-ethanolamine,0.0226,no,no,no,URGCP_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q03734,SERPINA3M,Serine protease inhibitor A3M OS=Mus musculus OX=10090 GN=Serpina3m PE=1 SV=2,bat,CDP-ethanolamine,-0.0572,no,no,no,SERPINA3M_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q922E4,PCYT2,Ethanolamine-phosphate cytidylyltransferase OS=Mus musculus OX=10090 GN=Pcyt2 PE=1 SV=1,bat,CDP-ethanolamine,0.390133047,no,no,yes,PCYT2_CDP-ethanolamine,RHEA:24592,R-MMU-1483213;R-HSA-1483213,NA,established,Extreme Outlier
Q9D7X3,DUSP3,Dual specificity protein phosphatase 3 OS=Mus musculus OX=10090 GN=Dusp3 PE=1 SV=1,bat,CDP-ethanolamine,-0.113295718,no,no,no,DUSP3_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q9CZT5,VASN,Vasorin OS=Mus musculus OX=10090 GN=Vasn PE=2 SV=2,bat,CDP-ethanolamine,-0.0479,no,no,no,VASN_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q6PCP5,MFF,Mitochondrial fission factor OS=Mus musculus OX=10090 GN=Mff PE=1 SV=1,bat,CDP-ethanolamine,0.00519,no,yes,no,MFF_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q923D2,BLVRB,Flavin reductase (NADPH) OS=Mus musculus OX=10090 GN=Blvrb PE=1 SV=3,bat,CDP-ethanolamine,-0.0168,no,no,yes,BLVRB_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q8VCS0,PGLYRP2,N-acetylmuramoyl-L-alanine amidase OS=Mus musculus OX=10090 GN=Pglyrp2 PE=1 SV=1,bat,CDP-ethanolamine,-0.014,no,no,no,PGLYRP2_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q60716,P4HA2,Prolyl 4-hydroxylase subunit alpha-2 OS=Mus musculus OX=10090 GN=P4ha2 PE=1 SV=1,bat,CDP-ethanolamine,-1.67e-4,no,no,yes,P4HA2_CDP-ethanolamine,NA,NA,NA,newfound,Normal
P11499,HSP90AB1,Heat shock protein HSP 90-beta OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=3,bat,CDP-ethanolamine,0.0155,yes,no,no,HSP90AB1_CDP-ethanolamine,NA,NA,NA,newfound,Normal
O55042,SNCA,Alpha-synuclein OS=Mus musculus OX=10090 GN=Snca PE=1 SV=2,bat,CDP-ethanolamine,-0.0694,yes,no,no,SNCA_CDP-ethanolamine,NA,NA,NA,newfound,Normal
P49962,SRP9,Signal recognition particle 9 kDa protein OS=Mus musculus OX=10090 GN=Srp9 PE=1 SV=2,bat,CDP-ethanolamine,0.00249,yes,no,no,SRP9_CDP-ethanolamine,NA,NA,NA,newfound,Normal
P26883,FKBP1A,Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Mus musculus OX=10090 GN=Fkbp1a PE=1 SV=2,bat,CDP-ethanolamine,-0.170340081,yes,no,no,FKBP1A_CDP-ethanolamine,NA,NA,NA,newfound,Normal
Q05921,RNASEL,2-5A-dependent ribonuclease OS=Mus musculus OX=10090 GN=Rnasel PE=1 SV=2,bat,CDP-ethanolamine,-0.013,no,no,no,RNASEL_CDP-ethanolamine,NA,NA,NA,newfound,Normal
P70180,NPR3,Atrial natriuretic peptide receptor 3 OS=Mus musculus OX=10090 GN=Npr3 PE=1 SV=3,bat,Choline hydroxide solution,-0.00136,no,no,no,NPR3_Choline hydroxide solution,NA,NA,NA,newfound,Normal
Q91VJ2,CAVIN3,Caveolae-associated protein 3 OS=Mus musculus OX=10090 GN=Cavin3 PE=1 SV=1,bat,Choline hydroxide solution,-0.238430478,no,no,no,CAVIN3_Choline hydroxide solution,NA,NA,NA,newfound,Normal
Q5RJ54,ZSCAN26,Zinc finger and SCAN domain-containing protein 26 OS=Mus musculus OX=10090 GN=Zscan26 PE=2 SV=1,bat,Choline hydroxide solution,0.121860143,no,no,no,ZSCAN26_Choline hydroxide solution,NA,NA,NA,newfound,Normal
Q923B1,DBR1,Lariat debranching enzyme OS=Mus musculus OX=10090 GN=Dbr1 PE=1 SV=2,bat,Choline hydroxide solution,0.172246654,no,no,no,DBR1_Choline hydroxide solution,NA,NA,NA,newfound,Normal
Q6PDH0,PHLDB1,Pleckstrin homology-like domain family B member 1 OS=Mus musculus OX=10090 GN=Phldb1 PE=1 SV=1,bat,citramalate,-0.0705,no,no,no,PHLDB1_citramalate,NA,NA,NA,newfound,Normal
Q60847,COL12A1,Collagen alpha-1(XII) chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3,bat,Citrate/isocitrate,-0.00136,no,no,no,COL12A1_Citrate/isocitrate,NA,NA,NA,newfound,Normal
A2AQ07,TUBB1,Tubulin beta-1 chain OS=Mus musculus OX=10090 GN=Tubb1 PE=1 SV=1,bat,Citrate/isocitrate,-0.0394,yes,no,no,TUBB1_Citrate/isocitrate,NA,NA,NA,newfound,Normal
Q6PGH2,JPT2,Jupiter microtubule associated homolog 2 OS=Mus musculus OX=10090 GN=Jpt2 PE=1 SV=1,bat,Citrate/isocitrate,-0.132535691,no,no,no,JPT2_Citrate/isocitrate,NA,NA,NA,newfound,Normal
E9Q616,AHNAK,AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1,bat,Citrate/isocitrate,-0.0391,no,no,no,AHNAK_Citrate/isocitrate,NA,NA,NA,newfound,Normal
Q8R2Y2,MCAM,Cell surface glycoprotein MUC18 OS=Mus musculus OX=10090 GN=Mcam PE=1 SV=1,bat,Citrate/isocitrate,-0.128932712,no,no,no,MCAM_Citrate/isocitrate,NA,NA,NA,newfound,Normal
Q9WTW5,SLC22A3,Solute carrier family 22 member 3 OS=Mus musculus OX=10090 GN=Slc22a3 PE=2 SV=1,bat,Citrate/isocitrate,-0.0296,yes,no,no,SLC22A3_Citrate/isocitrate,NA,NA,NA,newfound,Normal
P70296,PEBP1,Phosphatidylethanolamine-binding protein 1 OS=Mus musculus OX=10090 GN=Pebp1 PE=1 SV=3,bat,Citrate/isocitrate,-0.204256757,no,no,no,PEBP1_Citrate/isocitrate,NA,NA,NA,newfound,Normal
P26883,FKBP1A,Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Mus musculus OX=10090 GN=Fkbp1a PE=1 SV=2,bat,Citrate/isocitrate,-0.478577786,yes,no,no,FKBP1A_Citrate/isocitrate,NA,NA,NA,newfound,Extreme Outlier
Q99LI8,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Mus musculus OX=10090 GN=Hgs PE=1 SV=2,bat,Creatine,-0.0887,no,no,no,HGS_Creatine,NA,NA,NA,newfound,Normal
Q9ERG0,LIMA1,LIM domain and actin-binding protein 1 OS=Mus musculus OX=10090 GN=Lima1 PE=1 SV=3,bat,Creatine,-0.0517,no,no,no,LIMA1_Creatine,NA,NA,NA,newfound,Normal
Q3U2P1,SEC24A,Protein transport protein Sec24A OS=Mus musculus OX=10090 GN=Sec24a PE=1 SV=1,bat,Creatine,-0.118577543,no,no,no,SEC24A_Creatine,NA,NA,NA,newfound,Normal
P26040,EZR,Ezrin OS=Mus musculus OX=10090 GN=Ezr PE=1 SV=3,bat,Creatine,-0.147805086,yes,no,no,EZR_Creatine,NA,NA,NA,newfound,Normal
Q6PB44,PTPN23,Tyrosine-protein phosphatase non-receptor type 23 OS=Mus musculus OX=10090 GN=Ptpn23 PE=1 SV=2,bat,Creatine,-0.168810344,no,no,no,PTPN23_Creatine,NA,NA,NA,newfound,Normal
Q5SVR0,TBC1D9B,TBC1 domain family member 9B OS=Mus musculus OX=10090 GN=Tbc1d9b PE=1 SV=1,bat,Creatine,-0.0103,no,no,no,TBC1D9B_Creatine,NA,NA,NA,newfound,Normal
P53811,PITPNB,Phosphatidylinositol transfer protein beta isoform OS=Mus musculus OX=10090 GN=Pitpnb PE=1 SV=2,bat,Creatine,-0.104053495,no,no,no,PITPNB_Creatine,NA,NA,NA,newfound,Normal
Q99JI6,RAP1B,Ras-related protein Rap-1b OS=Mus musculus OX=10090 GN=Rap1b PE=1 SV=2,bat,Creatine,-0.0742,no,no,no,RAP1B_Creatine,NA,NA,NA,newfound,Normal
Q80ZJ1,RAP2A,Ras-related protein Rap-2a OS=Mus musculus OX=10090 GN=Rap2a PE=1 SV=2,bat,Creatine,-0.0303,no,no,no,RAP2A_Creatine,NA,NA,NA,newfound,Normal
P35279-2,RAB6A,Isoform 2 of Ras-related protein Rab-6A OS=Mus musculus OX=10090 GN=Rab6a,bat,Creatine,-0.0136,no,no,no,RAB6A_Creatine,NA,NA,NA,newfound,Normal
